Domains,DBLa2,DBLa1.5,DBLa1.4,DBLa1.7,DBLa1.6,DBLa1.1,DBLa1.2,DBLa1.8,DBLa0.8,DBLa0.9,DBLa0.1,DBLa0.2,DBLa0.3,DBLa0.4,DBLa0.5,DBLa0.6,DBLa0.7,DBLa0.12,DBLa0.10,DBLa0.11,DBLa0.16,DBLa0.17,DBLa0.14,DBLa0.15,DBLa0.18,DBLa0.19,DBLa0.24,DBLa0.23,DBLa0.22,DBLa0.21,DBLa0.20,
M00566:113:000000000-AY2J2:1:1118:20990:11892;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1103:17400:13107;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2103:23360:12184;sample=S4MRSDd2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1103:15673:18214;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2103:9109:13336;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
M00566:114:000000000-AWM6N:1:1105:16092:17844;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2113:11003:11012;sample=S4MRSDd2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:114:000000000-AWM6N:1:1113:21536:20995;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1101:6751:14900;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
M00566:114:000000000-AWM6N:1:1103:20852:19748;sample=S4MRSDd2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1112:13901:7653;sample=S4MRS3D7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2103:16243:9590;sample=S4MRS3D7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:114:000000000-AWM6N:1:2107:9144:10271;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1108:11432:4453;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
M00566:114:000000000-AWM6N:1:1103:7772:4547;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:114:000000000-AWM6N:1:2107:15679:23025;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:114:000000000-AWM6N:1:1112:12662:17121;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1104:23754:13730;sample=S4MRS3D7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1116:6171:14262;sample=S4MRSDd2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1119:8773:3613;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1113:24130:3816;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:114:000000000-AWM6N:1:1104:21312:19177;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
M00566:114:000000000-AWM6N:1:1110:16882:6289;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
M00566:113:000000000-AY2J2:1:1108:9893:19299;sample=S4MRSDd2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:114:000000000-AWM6N:1:1103:13937:4521;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
M00566:113:000000000-AY2J2:1:1111:6689:18189;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
M00566:114:000000000-AWM6N:1:1118:18471:22110;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2105:8110:17900;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2103:24426:12512;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
M00566:113:000000000-AY2J2:1:1105:13642:22816;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1112:17250:19668;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1108:17949:3259;sample=S4MRSDd2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2105:18468:11657;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2113:10635:20598;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2105:7653:5446;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1105:23522:12598;sample=S4MRSDd2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2114:8246:9470;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1117:10314:8752;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1111:6990:4297;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
M00566:114:000000000-AWM6N:1:2106:19118:17308;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:114:000000000-AWM6N:1:1117:18389:4710;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1103:15226:20497;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1119:17559:9641;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1117:8866:17821;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1102:15039:18088;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
M00566:114:000000000-AWM6N:1:1111:20785:21967;sample=S4MRSDd2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:2105:7005:12995;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:113:000000000-AY2J2:1:1108:27485:14100;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
M00566:113:000000000-AY2J2:1:2110:11415:9905;sample=S4MRS3D7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
M00566:114:000000000-AWM6N:1:2108:11159:14502;sample=S4MRSDd2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
